SessionID,UserID,Timestamp,Event,ItemID,Cart_State,InteractionType
S1BC19D3E,U0152,1772289544,View,I0079,[],
S1BC19D3E,U0152,1772289603,Add,I0079,['I0079'],
S1BC19D3E,U0152,1772289616,View,I0079,['I0079'],
S1BC19D3E,U0152,1772289627,Add,I0079,"['I0079', 'I0079']",
S1BC19D3E,U0152,1772289653,Buy,,"['I0079', 'I0079']",
SAC0B8974,U0045,1772181484,View,I0255,[],
SAC0B8974,U0045,1772181516,Add,I0255,['I0255'],
SAC0B8974,U0045,1772181521,Buy,,['I0255'],
S62D3D830,U0026,1772281144,View,I0185,[],
S62D3D830,U0026,1772281194,Add,I0185,['I0185'],
S62D3D830,U0026,1772281211,View,I0109,['I0185'],
S62D3D830,U0026,1772281268,Add,I0109,"['I0185', 'I0109']",
S62D3D830,U0026,1772281288,Buy,,"['I0185', 'I0109']",
SB56BE2EF,U0142,1772371204,View,I0008,[],
SB56BE2EF,U0142,1772371215,Add,I0008,['I0008'],
SB56BE2EF,U0142,1772371232,View,I0166,['I0008'],
SB56BE2EF,U0142,1772371243,Add,I0166,"['I0008', 'I0166']",
SB56BE2EF,U0142,1772371263,Buy,,"['I0008', 'I0166']",
S89ADE3E2,U0008,1772459104,View,I0257,[],
S89ADE3E2,U0008,1772459133,Add,I0257,['I0257'],
S89ADE3E2,U0008,1772459154,Buy,,['I0257'],
SEE50B75B,U0065,1772202604,View,I0141,[],
SEE50B75B,U0065,1772202630,Add,I0141,['I0141'],
SEE50B75B,U0065,1772202657,View,I0265,['I0141'],
SEE50B75B,U0065,1772202686,Add,I0265,"['I0141', 'I0265']",
SEE50B75B,U0065,1772202694,View,I0088,"['I0141', 'I0265']",
SEE50B75B,U0065,1772202747,Add,I0088,"['I0141', 'I0265', 'I0088']",
SEE50B75B,U0065,1772202762,Buy,,"['I0141', 'I0265', 'I0088']",
SA077A876,U0090,1772209504,View,I0035,[],
SA077A876,U0090,1772209546,Add,I0035,['I0035'],
SA077A876,U0090,1772209557,View,I0035,['I0035'],
SA077A876,U0090,1772209570,Add,I0035,"['I0035', 'I0035']",
SA077A876,U0090,1772209593,Buy,,"['I0035', 'I0035']",
S23BB84CB,U0181,1772080024,View,I0284,[],
S23BB84CB,U0181,1772080034,Add,I0284,['I0284'],
S23BB84CB,U0181,1772080053,Buy,,['I0284'],
S04249F93,U0174,1772274904,View,I0106,[],
S04249F93,U0174,1772274964,Add,I0106,['I0106'],
S04249F93,U0174,1772274985,Buy,,['I0106'],
S307DBBDC,U0012,1772201404,View,I0262,[],
S307DBBDC,U0012,1772201445,Add,I0262,['I0262'],
S307DBBDC,U0012,1772201455,View,I0037,['I0262'],
S307DBBDC,U0012,1772201515,Add,I0037,"['I0262', 'I0037']",
S307DBBDC,U0012,1772201527,Buy,,"['I0262', 'I0037']",
S7E074439,U0151,1772312104,View,I0279,[],
S7E074439,U0151,1772312157,Add,I0279,['I0279'],
S7E074439,U0151,1772312168,Buy,,['I0279'],
S87040BB6,U0178,1772092384,View,I0129,[],
S87040BB6,U0178,1772092415,Add,I0129,['I0129'],
S87040BB6,U0178,1772092444,View,I0129,['I0129'],
S87040BB6,U0178,1772092490,Add,I0129,"['I0129', 'I0129']",
S87040BB6,U0178,1772092515,Buy,,"['I0129', 'I0129']",
S276942B0,U0091,1772192704,View,I0219,[],
S276942B0,U0091,1772192750,Add,I0219,['I0219'],
S276942B0,U0091,1772192756,View,I0219,['I0219'],
S276942B0,U0091,1772192795,Add,I0219,"['I0219', 'I0219']",
S276942B0,U0091,1772192825,Buy,,"['I0219', 'I0219']",
S87039219,U0108,1772371624,View,I0041,[],
S87039219,U0108,1772371675,Add,I0041,['I0041'],
S87039219,U0108,1772371692,Buy,,['I0041'],
SB60EDE21,U0047,1772169604,View,I0255,[],
SB60EDE21,U0047,1772169625,Add,I0255,['I0255'],
SB60EDE21,U0047,1772169632,View,I0255,['I0255'],
SB60EDE21,U0047,1772169673,Add,I0255,"['I0255', 'I0255']",
SB60EDE21,U0047,1772169681,Buy,,"['I0255', 'I0255']",
S50A1436D,U0071,1772154184,View,I0143,[],
S50A1436D,U0071,1772154201,Add,I0143,['I0143'],
S50A1436D,U0071,1772154223,Buy,,['I0143'],
S707D456F,U0075,1772272804,View,I0103,[],
S707D456F,U0075,1772272846,Add,I0103,['I0103'],
S707D456F,U0075,1772272874,View,I0046,['I0103'],
S707D456F,U0075,1772272899,Add,I0046,"['I0103', 'I0046']",
S707D456F,U0075,1772272907,Buy,,"['I0103', 'I0046']",
S0F2DF7FF,U0054,1772352124,View,I0248,[],
S0F2DF7FF,U0054,1772352161,Add,I0248,['I0248'],
S0F2DF7FF,U0054,1772352170,Buy,,['I0248'],
S8E4EF7C2,U0029,1772376844,View,I0240,[],
S8E4EF7C2,U0029,1772376895,Add,I0240,['I0240'],
S8E4EF7C2,U0029,1772376909,Buy,,['I0240'],
SAAE0CD55,U0129,1772213224,View,I0188,[],
SAAE0CD55,U0129,1772213236,Add,I0188,['I0188'],
SAAE0CD55,U0129,1772213250,Buy,,['I0188'],
S179F53DD,U0086,1772355184,View,I0295,[],
S179F53DD,U0086,1772355217,Add,I0295,['I0295'],
S179F53DD,U0086,1772355237,View,I0034,['I0295'],
S179F53DD,U0086,1772355282,Add,I0034,"['I0295', 'I0034']",
S179F53DD,U0086,1772355299,Buy,,"['I0295', 'I0034']",
S821DCC61,U0172,1772458384,View,I0295,[],
S821DCC61,U0172,1772458415,Add,I0295,['I0295'],
S821DCC61,U0172,1772458436,Buy,,['I0295'],
S8D995A3E,U0102,1772230084,View,I0270,[],
S8D995A3E,U0102,1772230141,Add,I0270,['I0270'],
S8D995A3E,U0102,1772230160,View,I0287,['I0270'],
S8D995A3E,U0102,1772230203,Add,I0287,"['I0270', 'I0287']",
S8D995A3E,U0102,1772230227,Buy,,"['I0270', 'I0287']",
SB219B3BD,U0005,1772453104,View,I0193,[],
SB219B3BD,U0005,1772453122,Add,I0193,['I0193'],
SB219B3BD,U0005,1772453151,Buy,,['I0193'],
S06368554,U0189,1772260984,View,I0119,[],
S06368554,U0189,1772261017,Add,I0119,['I0119'],
S06368554,U0189,1772261044,View,I0171,['I0119'],
S06368554,U0189,1772261094,Add,I0171,"['I0119', 'I0171']",
S06368554,U0189,1772261109,Buy,,"['I0119', 'I0171']",
S732D6FBE,U0126,1772372524,View,I0121,[],
S732D6FBE,U0126,1772372542,Add,I0121,['I0121'],
S732D6FBE,U0126,1772372563,View,I0213,['I0121'],
S732D6FBE,U0126,1772372586,Add,I0213,"['I0121', 'I0213']",
S732D6FBE,U0126,1772372601,Buy,,"['I0121', 'I0213']",
SD339EBB3,U0101,1772250604,View,I0079,[],
SD339EBB3,U0101,1772250637,Add,I0079,['I0079'],
SD339EBB3,U0101,1772250646,Buy,,['I0079'],
S871E9044,U0077,1772452084,View,I0119,[],
S871E9044,U0077,1772452106,Add,I0119,['I0119'],
S871E9044,U0077,1772452133,Buy,,['I0119'],
S22C5B429,U0042,1772214904,View,I0123,[],
S22C5B429,U0042,1772214935,Add,I0123,['I0123'],
S22C5B429,U0042,1772214963,View,I0123,['I0123'],
S22C5B429,U0042,1772215000,Add,I0123,"['I0123', 'I0123']",
S22C5B429,U0042,1772215023,Buy,,"['I0123', 'I0123']",
S86A9BCB3,U0177,1772337664,View,I0213,[],
S86A9BCB3,U0177,1772337701,Add,I0213,['I0213'],
S86A9BCB3,U0177,1772337718,View,I0213,['I0213'],
S86A9BCB3,U0177,1772337765,Add,I0213,"['I0213', 'I0213']",
S86A9BCB3,U0177,1772337793,Buy,,"['I0213', 'I0213']",
SDA7E928F,U0007,1772209864,View,I0240,[],
SDA7E928F,U0007,1772209918,Add,I0240,['I0240'],
SDA7E928F,U0007,1772209945,Buy,,['I0240'],
SFF190030,U0084,1772441764,View,I0129,[],
SFF190030,U0084,1772441779,Add,I0129,['I0129'],
SFF190030,U0084,1772441801,Buy,,['I0129'],
S41DAFDE7,U0023,1772382904,View,I0214,[],
S41DAFDE7,U0023,1772382917,Add,I0214,['I0214'],
S41DAFDE7,U0023,1772382947,View,I0115,['I0214'],
S41DAFDE7,U0023,1772382995,Add,I0115,"['I0214', 'I0115']",
S41DAFDE7,U0023,1772383004,Buy,,"['I0214', 'I0115']",
S21E21C5F,U0127,1772076904,View,I0181,[],
S21E21C5F,U0127,1772076954,Add,I0181,['I0181'],
S21E21C5F,U0127,1772076983,View,I0074,['I0181'],
S21E21C5F,U0127,1772076998,Add,I0074,"['I0181', 'I0074']",
S21E21C5F,U0127,1772077010,Buy,,"['I0181', 'I0074']",
SC002266F,U0062,1772288404,View,I0129,[],
SC002266F,U0062,1772288419,Add,I0129,['I0129'],
SC002266F,U0062,1772288426,Buy,,['I0129'],
SCBD00F55,U0145,1772298664,View,I0128,[],
SCBD00F55,U0145,1772298712,Add,I0128,['I0128'],
SCBD00F55,U0145,1772298723,View,I0128,['I0128'],
SCBD00F55,U0145,1772298757,Add,I0128,"['I0128', 'I0128']",
SCBD00F55,U0145,1772298783,Buy,,"['I0128', 'I0128']",
S0A3DE65C,U0079,1772175184,View,I0019,[],
S0A3DE65C,U0079,1772175223,Add,I0019,['I0019'],
S0A3DE65C,U0079,1772175251,View,I0019,['I0019'],
S0A3DE65C,U0079,1772175274,Add,I0019,"['I0019', 'I0019']",
S0A3DE65C,U0079,1772175287,Buy,,"['I0019', 'I0019']",
SFC3F25DA,U0020,1772170624,View,I0282,[],
SFC3F25DA,U0020,1772170653,Add,I0282,['I0282'],
SFC3F25DA,U0020,1772170660,View,I0278,['I0282'],
SFC3F25DA,U0020,1772170698,Add,I0278,"['I0282', 'I0278']",
SFC3F25DA,U0020,1772170723,Buy,,"['I0282', 'I0278']",
S80A885AC,U0165,1772181124,View,I0262,[],
S80A885AC,U0165,1772181144,Add,I0262,['I0262'],
S80A885AC,U0165,1772181149,View,I0239,['I0262'],
S80A885AC,U0165,1772181205,Add,I0239,"['I0262', 'I0239']",
S80A885AC,U0165,1772181221,Buy,,"['I0262', 'I0239']",
SB2FFB0AC,U0009,1772384284,View,I0166,[],
SB2FFB0AC,U0009,1772384339,Add,I0166,['I0166'],
SB2FFB0AC,U0009,1772384365,View,I0166,['I0166'],
SB2FFB0AC,U0009,1772384393,Add,I0166,"['I0166', 'I0166']",
SB2FFB0AC,U0009,1772384423,Buy,,"['I0166', 'I0166']",
S6F4888CB,U0076,1772335984,View,I0073,[],
S6F4888CB,U0076,1772336031,Add,I0073,['I0073'],
S6F4888CB,U0076,1772336039,Buy,,['I0073'],
S3CD716E4,U0011,1772372344,View,I0212,[],
S3CD716E4,U0011,1772372376,Add,I0212,['I0212'],
S3CD716E4,U0011,1772372384,Buy,,['I0212'],
S73364A86,U0060,1772242984,View,I0294,[],
S73364A86,U0060,1772243020,Add,I0294,['I0294'],
S73364A86,U0060,1772243043,View,I0213,['I0294'],
S73364A86,U0060,1772243068,Add,I0213,"['I0294', 'I0213']",
S73364A86,U0060,1772243076,Buy,,"['I0294', 'I0213']",
SFE5E19CA,U0137,1772405284,View,I0102,[],
SFE5E19CA,U0137,1772405298,Add,I0102,['I0102'],
SFE5E19CA,U0137,1772405305,Buy,,['I0102'],
SA4042CBF,U0089,1772067004,View,I0022,[],
SA4042CBF,U0089,1772067042,Add,I0022,['I0022'],
SA4042CBF,U0089,1772067071,Buy,,['I0022'],
SC3CD01A2,U0168,1772082424,View,I0059,[],
SC3CD01A2,U0168,1772082482,Add,I0059,['I0059'],
SC3CD01A2,U0168,1772082491,View,I0059,['I0059'],
SC3CD01A2,U0168,1772082507,Add,I0059,"['I0059', 'I0059']",
SC3CD01A2,U0168,1772082529,Buy,,"['I0059', 'I0059']",
S013C9F4F,U0160,1772381284,View,I0246,[],
S013C9F4F,U0160,1772381303,Add,I0246,['I0246'],
S013C9F4F,U0160,1772381309,View,I0255,['I0246'],
S013C9F4F,U0160,1772381345,Add,I0255,"['I0246', 'I0255']",
S013C9F4F,U0160,1772381366,Buy,,"['I0246', 'I0255']",
S1C7533E0,U0191,1772302444,View,I0229,[],
S1C7533E0,U0191,1772302478,Add,I0229,['I0229'],
S1C7533E0,U0191,1772302489,View,I0180,['I0229'],
S1C7533E0,U0191,1772302509,Add,I0180,"['I0229', 'I0180']",
S1C7533E0,U0191,1772302537,Buy,,"['I0229', 'I0180']",
S5824C9AA,U0148,1772392024,View,I0155,[],
S5824C9AA,U0148,1772392035,Add,I0155,['I0155'],
S5824C9AA,U0148,1772392056,View,I0244,['I0155'],
S5824C9AA,U0148,1772392084,Add,I0244,"['I0155', 'I0244']",
S5824C9AA,U0148,1772392093,Buy,,"['I0155', 'I0244']",
SE7C384C1,U0075,1772165884,View,I0221,[],
SE7C384C1,U0075,1772165934,Add,I0221,['I0221'],
SE7C384C1,U0075,1772165956,Buy,,['I0221'],
SC033AC0B,U0025,1772325244,View,I0016,[],
SC033AC0B,U0025,1772325277,Add,I0016,['I0016'],
SC033AC0B,U0025,1772325298,View,I0050,['I0016'],
SC033AC0B,U0025,1772325351,Add,I0050,"['I0016', 'I0050']",
SC033AC0B,U0025,1772325369,Buy,,"['I0016', 'I0050']",
S520CBB74,U0123,1772303164,View,I0268,[],
S520CBB74,U0123,1772303174,Add,I0268,['I0268'],
S520CBB74,U0123,1772303204,Buy,,['I0268'],
SD1A3CBA6,U0136,1772420224,View,I0132,[],
SD1A3CBA6,U0136,1772420259,Add,I0132,['I0132'],
SD1A3CBA6,U0136,1772420284,View,I0132,['I0132'],
SD1A3CBA6,U0136,1772420315,Add,I0132,"['I0132', 'I0132']",
SD1A3CBA6,U0136,1772420333,Buy,,"['I0132', 'I0132']",
S6A365E38,U0028,1772342464,View,I0060,[],
S6A365E38,U0028,1772342500,Add,I0060,['I0060'],
S6A365E38,U0028,1772342528,Buy,,['I0060'],
S6A303656,U0194,1772294464,View,I0185,[],
S6A303656,U0194,1772294505,Add,I0185,['I0185'],
S6A303656,U0194,1772294533,View,I0109,['I0185'],
S6A303656,U0194,1772294574,Add,I0109,"['I0185', 'I0109']",
S6A303656,U0194,1772294587,Buy,,"['I0185', 'I0109']",
SA7A734C3,U0165,1772095504,View,I0242,[],
SA7A734C3,U0165,1772095548,Add,I0242,['I0242'],
SA7A734C3,U0165,1772095553,Buy,,['I0242'],
SDB62713F,U0082,1772216164,View,I0270,[],
SDB62713F,U0082,1772216188,Add,I0270,['I0270'],
SDB62713F,U0082,1772216209,View,I0154,['I0270'],
SDB62713F,U0082,1772216253,Add,I0154,"['I0270', 'I0154']",
SDB62713F,U0082,1772216259,View,I0287,"['I0270', 'I0154']",
SDB62713F,U0082,1772216300,Add,I0287,"['I0270', 'I0154', 'I0287']",
SDB62713F,U0082,1772216313,Buy,,"['I0270', 'I0154', 'I0287']",
S63AAC50E,U0180,1772406124,View,I0107,[],
S63AAC50E,U0180,1772406145,Add,I0107,['I0107'],
S63AAC50E,U0180,1772406158,View,I0258,['I0107'],
S63AAC50E,U0180,1772406206,Add,I0258,"['I0107', 'I0258']",
S63AAC50E,U0180,1772406226,View,I0100,"['I0107', 'I0258']",
S63AAC50E,U0180,1772406267,Add,I0100,"['I0107', 'I0258', 'I0100']",
S63AAC50E,U0180,1772406286,View,I0022,"['I0107', 'I0258', 'I0100']",
S63AAC50E,U0180,1772406324,Add,I0022,"['I0107', 'I0258', 'I0100', 'I0022']",
S63AAC50E,U0180,1772406335,Buy,,"['I0107', 'I0258', 'I0100', 'I0022']",
SB6B505AC,U0150,1772364004,View,I0255,[],
SB6B505AC,U0150,1772364056,Add,I0255,['I0255'],
SB6B505AC,U0150,1772364073,Buy,,['I0255'],
S1E03FF88,U0087,1772339884,View,I0299,[],
S1E03FF88,U0087,1772339919,Add,I0299,['I0299'],
S1E03FF88,U0087,1772339942,View,I0289,['I0299'],
S1E03FF88,U0087,1772339985,Add,I0289,"['I0299', 'I0289']",
S1E03FF88,U0087,1772339992,Buy,,"['I0299', 'I0289']",
S7F5B59D5,U0091,1772115004,View,I0066,[],
S7F5B59D5,U0091,1772115035,Add,I0066,['I0066'],
S7F5B59D5,U0091,1772115049,View,I0201,['I0066'],
S7F5B59D5,U0091,1772115097,Add,I0201,"['I0066', 'I0201']",
S7F5B59D5,U0091,1772115122,Buy,,"['I0066', 'I0201']",
SCDCA42A5,U0088,1772196544,View,I0064,[],
SCDCA42A5,U0088,1772196600,Add,I0064,['I0064'],
SCDCA42A5,U0088,1772196614,View,I0187,['I0064'],
SCDCA42A5,U0088,1772196653,Add,I0187,"['I0064', 'I0187']",
SCDCA42A5,U0088,1772196668,Buy,,"['I0064', 'I0187']",
S6C782DD5,U0010,1772311924,View,I0213,[],
S6C782DD5,U0010,1772311965,Add,I0213,['I0213'],
S6C782DD5,U0010,1772311976,View,I0213,['I0213'],
S6C782DD5,U0010,1772312017,Add,I0213,"['I0213', 'I0213']",
S6C782DD5,U0010,1772312028,Buy,,"['I0213', 'I0213']",
S2913A46D,U0161,1772284684,View,I0211,[],
S2913A46D,U0161,1772284705,Add,I0211,['I0211'],
S2913A46D,U0161,1772284718,View,I0211,['I0211'],
S2913A46D,U0161,1772284743,Add,I0211,"['I0211', 'I0211']",
S2913A46D,U0161,1772284749,Buy,,"['I0211', 'I0211']",
S634DAED9,U0173,1772253904,View,I0262,[],
S634DAED9,U0173,1772253954,Add,I0262,['I0262'],
S634DAED9,U0173,1772253959,View,I0037,['I0262'],
S634DAED9,U0173,1772253986,Add,I0037,"['I0262', 'I0037']",
S634DAED9,U0173,1772253996,Buy,,"['I0262', 'I0037']",
SF4DDAD5D,U0011,1772468044,View,I0155,[],
SF4DDAD5D,U0011,1772468067,Add,I0155,['I0155'],
SF4DDAD5D,U0011,1772468074,View,I0244,['I0155'],
SF4DDAD5D,U0011,1772468087,Add,I0244,"['I0155', 'I0244']",
SF4DDAD5D,U0011,1772468092,Buy,,"['I0155', 'I0244']",
S5B30838B,U0128,1772112184,View,I0230,[],
S5B30838B,U0128,1772112212,Add,I0230,['I0230'],
S5B30838B,U0128,1772112235,Buy,,['I0230'],
S55AB05BC,U0159,1772166484,View,I0180,[],
S55AB05BC,U0159,1772166523,Add,I0180,['I0180'],
S55AB05BC,U0159,1772166549,Buy,,['I0180'],
SCFC6BC50,U0149,1772351524,View,I0089,[],
SCFC6BC50,U0149,1772351538,Add,I0089,['I0089'],
SCFC6BC50,U0149,1772351566,Buy,,['I0089'],
S93BE6913,U0151,1772132524,View,I0242,[],
S93BE6913,U0151,1772132547,Add,I0242,['I0242'],
S93BE6913,U0151,1772132572,Buy,,['I0242'],
S08770862,U0190,1772425024,View,I0186,[],
S08770862,U0190,1772425040,Add,I0186,['I0186'],
S08770862,U0190,1772425067,View,I0143,['I0186'],
S08770862,U0190,1772425126,Add,I0143,"['I0186', 'I0143']",
S08770862,U0190,1772425146,Buy,,"['I0186', 'I0143']",
SAA081C62,U0182,1772436364,View,I0188,[],
SAA081C62,U0182,1772436415,Add,I0188,['I0188'],
SAA081C62,U0182,1772436427,Buy,,['I0188'],
S87E9A732,U0176,1772063644,View,I0139,[],
S87E9A732,U0176,1772063669,Add,I0139,['I0139'],
S87E9A732,U0176,1772063684,View,I0238,['I0139'],
S87E9A732,U0176,1772063728,Add,I0238,"['I0139', 'I0238']",
S87E9A732,U0176,1772063744,Buy,,"['I0139', 'I0238']",
S7C7BFCFC,U0015,1772331784,View,I0116,[],
S7C7BFCFC,U0015,1772331810,Add,I0116,['I0116'],
S7C7BFCFC,U0015,1772331815,View,I0013,['I0116'],
S7C7BFCFC,U0015,1772331872,Add,I0013,"['I0116', 'I0013']",
S7C7BFCFC,U0015,1772331893,Buy,,"['I0116', 'I0013']",
SD94006F1,U0003,1772111584,View,I0187,[],
SD94006F1,U0003,1772111618,Add,I0187,['I0187'],
SD94006F1,U0003,1772111642,Buy,,['I0187'],
SBC2B1219,U0122,1772144764,View,I0078,[],
SBC2B1219,U0122,1772144805,Add,I0078,['I0078'],
SBC2B1219,U0122,1772144812,Buy,,['I0078'],
S0DC1ED68,U0003,1772160064,View,I0110,[],
S0DC1ED68,U0003,1772160102,Add,I0110,['I0110'],
S0DC1ED68,U0003,1772160132,View,I0070,['I0110'],
S0DC1ED68,U0003,1772160178,Add,I0070,"['I0110', 'I0070']",
S0DC1ED68,U0003,1772160193,Buy,,"['I0110', 'I0070']",
S1682CB37,U0166,1772220244,View,I0180,[],
S1682CB37,U0166,1772220288,Add,I0180,['I0180'],
S1682CB37,U0166,1772220302,Buy,,['I0180'],
S59FDB68D,U0041,1772255884,View,I0041,[],
S59FDB68D,U0041,1772255900,Add,I0041,['I0041'],
S59FDB68D,U0041,1772255911,Buy,,['I0041'],
SFD16B088,U0200,1772069224,View,I0267,[],
SFD16B088,U0200,1772069275,Add,I0267,['I0267'],
SFD16B088,U0200,1772069298,Buy,,['I0267'],
S10C1E16E,U0165,1772328544,View,I0195,[],
S10C1E16E,U0165,1772328584,Add,I0195,['I0195'],
S10C1E16E,U0165,1772328596,Buy,,['I0195'],
SBF270437,U0175,1772120284,View,I0107,[],
SBF270437,U0175,1772120305,Add,I0107,['I0107'],
SBF270437,U0175,1772120334,View,I0100,['I0107'],
SBF270437,U0175,1772120359,Add,I0100,"['I0107', 'I0100']",
SBF270437,U0175,1772120364,View,I0022,"['I0107', 'I0100']",
SBF270437,U0175,1772120413,Add,I0022,"['I0107', 'I0100', 'I0022']",
SBF270437,U0175,1772120419,Buy,,"['I0107', 'I0100', 'I0022']",
SE7E7BE66,U0118,1772365324,View,I0033,[],
SE7E7BE66,U0118,1772365362,Add,I0033,['I0033'],
SE7E7BE66,U0118,1772365385,Buy,,['I0033'],
S1DC4AB83,U0190,1772429524,View,I0123,[],
S1DC4AB83,U0190,1772429555,Add,I0123,['I0123'],
S1DC4AB83,U0190,1772429576,View,I0123,['I0123'],
S1DC4AB83,U0190,1772429588,Add,I0123,"['I0123', 'I0123']",
S1DC4AB83,U0190,1772429611,Buy,,"['I0123', 'I0123']",
S699BDCA8,U0033,1772170744,View,I0193,[],
S699BDCA8,U0033,1772170789,Add,I0193,['I0193'],
S699BDCA8,U0033,1772170796,Buy,,['I0193'],
S91EEE8F7,U0128,1772165944,View,I0123,[],
S91EEE8F7,U0128,1772165975,Add,I0123,['I0123'],
S91EEE8F7,U0128,1772166001,Buy,,['I0123'],
S4538B07E,U0075,1772061964,View,I0273,[],
S4538B07E,U0075,1772061976,Add,I0273,['I0273'],
S4538B07E,U0075,1772061991,Buy,,['I0273'],
S84A9F2E6,U0143,1772209324,View,I0077,[],
S84A9F2E6,U0143,1772209357,Add,I0077,['I0077'],
S84A9F2E6,U0143,1772209376,Buy,,['I0077'],
SF459C90C,U0021,1772236924,View,I0082,[],
SF459C90C,U0021,1772236975,Add,I0082,['I0082'],
SF459C90C,U0021,1772236996,Buy,,['I0082'],
SC1440ED6,U0035,1772222944,View,I0060,[],
SC1440ED6,U0035,1772222959,Add,I0060,['I0060'],
SC1440ED6,U0035,1772222979,Buy,,['I0060'],
SC5A76669,U0003,1772357104,View,I0171,[],
SC5A76669,U0003,1772357159,Add,I0171,['I0171'],
SC5A76669,U0003,1772357188,Buy,,['I0171'],
SE70D87D3,U0044,1772189824,View,I0121,[],
SE70D87D3,U0044,1772189866,Add,I0121,['I0121'],
SE70D87D3,U0044,1772189893,View,I0213,['I0121'],
SE70D87D3,U0044,1772189941,Add,I0213,"['I0121', 'I0213']",
SE70D87D3,U0044,1772189952,Buy,,"['I0121', 'I0213']",
SAFA1D918,U0085,1772071204,View,I0259,[],
SAFA1D918,U0085,1772071259,Add,I0259,['I0259'],
SAFA1D918,U0085,1772071279,View,I0137,['I0259'],
SAFA1D918,U0085,1772071307,Add,I0137,"['I0259', 'I0137']",
SAFA1D918,U0085,1772071320,Buy,,"['I0259', 'I0137']",
SB04283CC,U0033,1772144584,View,I0123,[],
SB04283CC,U0033,1772144635,Add,I0123,['I0123'],
SB04283CC,U0033,1772144640,View,I0123,['I0123'],
SB04283CC,U0033,1772144691,Add,I0123,"['I0123', 'I0123']",
SB04283CC,U0033,1772144712,Buy,,"['I0123', 'I0123']",
S755B7038,U0018,1772209384,View,I0157,[],
S755B7038,U0018,1772209433,Add,I0157,['I0157'],
S755B7038,U0018,1772209442,View,I0035,['I0157'],
S755B7038,U0018,1772209497,Add,I0035,"['I0157', 'I0035']",
S755B7038,U0018,1772209514,Buy,,"['I0157', 'I0035']",
S37C37AA8,U0109,1772452624,View,I0230,[],
S37C37AA8,U0109,1772452643,Add,I0230,['I0230'],
S37C37AA8,U0109,1772452673,Buy,,['I0230'],
SF0B4ABA2,U0068,1772104024,View,I0229,[],
SF0B4ABA2,U0068,1772104063,Add,I0229,['I0229'],
SF0B4ABA2,U0068,1772104083,View,I0180,['I0229'],
SF0B4ABA2,U0068,1772104128,Add,I0180,"['I0229', 'I0180']",
SF0B4ABA2,U0068,1772104134,Buy,,"['I0229', 'I0180']",
